,actual_label,predicted_label,cleanlab_confidence
27272,0,1,0.9306009080552545
47977,0,1,0.9296340939887463
52722,0,1,0.9294395421400918
81666,0,1,0.9292143349174572
62128,0,1,0.928847742068304
83815,0,1,0.9286740249831683
53038,0,1,0.9286383949752056
86430,0,1,0.9286060130297735
67485,0,1,0.9284031008884196
48625,0,1,0.9282531101588981
43581,0,1,0.9275707708857049
86158,0,1,0.9267518848689394
55137,0,1,0.9263628933930835
27180,0,1,0.9260362987423056
59353,0,1,0.9259683368508425
643,0,1,0.9259242921816777
79960,0,1,0.9253391821566782
86887,0,1,0.9253205473329706
59301,0,1,0.9252135191246963
78065,0,1,0.9251615007671684
65516,0,1,0.9251313142110844
37737,0,1,0.924590305680067
168,0,1,0.9244131297684446
70249,0,1,0.9243214143120162
48004,0,1,0.9239562881003286
66896,0,1,0.9237766903721746
70496,0,1,0.9233969268221549
57659,0,1,0.9233046256832483
67388,0,1,0.9232988977835197
43359,0,1,0.923144090325167
51775,0,1,0.923117625848127
56296,0,1,0.9229818942423665
65781,0,1,0.9224693247525102
87472,0,1,0.9222028498287096
12105,0,1,0.9219297090512023
36424,0,1,0.9218755221493999
98139,0,1,0.9218059445840475
50044,0,1,0.9217965876297305
16940,0,1,0.9217558598531607
71020,0,1,0.9216541891363828
90994,0,1,0.9216419710387774
5751,0,1,0.9215707207254159
49776,0,1,0.921497435291916
57825,0,1,0.9213274581180215
71588,0,1,0.9212600938609582
88302,0,1,0.9212052946302981
26011,0,1,0.9211977973788561
26300,0,1,0.9211093880825376
68677,0,1,0.9210566393344658
55603,0,1,0.9207750886447564
18371,0,1,0.9206379878031867
82855,0,1,0.920417382730341
68145,0,1,0.9203496115346982
85990,0,1,0.9202470938774021
70640,0,1,0.9201656466123914
57027,0,1,0.9201177166976087
77260,0,1,0.9200648878994044
50785,0,1,0.920027601466546
24619,0,1,0.9199553990813797
81729,0,1,0.9198421292907749
46081,0,1,0.9198314370273925
48236,0,1,0.9198119856430919
24182,0,1,0.9195791557502715
45647,0,1,0.9191720341721948
32662,0,1,0.9190340252887994
76148,0,1,0.9189535878690179
10933,0,1,0.9188808472011561
55205,0,1,0.9188030939782125
19082,0,1,0.9187123114270384
57255,0,1,0.9186319730870147
31456,0,1,0.918420836888531
46877,0,1,0.9182710030500041
80363,0,1,0.9182452123082296
16015,0,1,0.9182237103095343
13548,0,1,0.9180344092402801
63082,0,1,0.9180340509046327
81726,0,1,0.9179872990100142
56148,0,1,0.9179488019819098
37491,0,1,0.9179150315075918
72877,0,1,0.9178320271939253
77241,0,1,0.9178214177577009
91127,0,1,0.9176358430420959
4536,0,1,0.9175633479045444
76243,0,1,0.9174662859428602
57881,0,1,0.9174573647026534
58181,0,1,0.9173754178033802
68627,0,1,0.9171750260980371
89172,0,1,0.9171599619047806
53156,0,1,0.9171458746169627
49642,0,1,0.9171179809458613
51168,0,1,0.9171115459753659
45961,0,1,0.9170242227602938
79577,0,1,0.9169572776358708
16095,0,1,0.916941668742629
78263,0,1,0.9169113605410856
85827,0,1,0.9168614681026201
65065,0,1,0.9167624614411899
72345,0,1,0.9165514977502537
84179,0,1,0.9164938966151942
72167,0,1,0.91644803709288
73166,0,1,0.9162689243854889
66577,0,1,0.9161651713781912
43856,0,1,0.916005436657647
70798,0,1,0.9159820076221498
65416,0,1,0.9159810215245221
94977,0,1,0.915938773258367
64976,0,1,0.9159024302010169
3796,0,1,0.9158317913760857
16426,0,1,0.9158049751191237
78730,0,1,0.9156657533913325
69315,0,1,0.9155239755272533
75084,0,1,0.9154498138225873
78411,0,1,0.9152905666234434
37614,0,1,0.9152597420842328
11072,0,1,0.9151993492539678
79215,0,1,0.9149630657684977
68419,0,1,0.9149512989336032
4868,0,1,0.9146387670550424
87828,0,1,0.9146259428240654
57181,0,1,0.9146111024881184
99729,0,1,0.9145114078990574
69764,0,1,0.9144818887461312
80509,0,1,0.9144689867401905
94350,0,1,0.9144366336334607
50754,0,1,0.9143928708287669
24908,0,1,0.9143467599249007
23183,0,1,0.9143453948126746
11565,0,1,0.9142976750682219
36682,0,1,0.9142270327123893
51061,0,1,0.9141666716717924
79536,0,1,0.9141410922624245
58543,0,1,0.9140331935882994
38281,0,1,0.9139406611689792
21997,0,1,0.9139034739930998
93488,0,1,0.9139034435965132
65202,0,1,0.9138991145461237
86749,0,1,0.9138652708212178
